Reading,Screener,Group
-0.7106167202823569,-1.448648134867664,English-Only Household
0.09288191113415395,0.40339860431039243,English-Only Household
1.3814317496992445,0.558475601231294,English-Only Household
-1.9695550332243918,-2.2265565809710575,English-Only Household
0.6302937492768221,0.1373478307271388,English-Only Household
0.07310428214366621,0.8321560180792442,English-Only Household
-1.0970117847462344,0.06888568854895927,English-Only Household
-0.25251038918863083,-0.7253344013716123,English-Only Household
-0.8460631234719664,-0.1636593085346178,English-Only Household
-1.596725200658457,0.004577130027294762,English-Only Household
-0.6574213516165905,-0.19620690039587207,English-Only Household
-1.1210433857747524,-0.6649245810417622,English-Only Household
-1.0867480635242206,-0.30185711744338356,English-Only Household
0.19412514260328464,-0.07881770486010378,English-Only Household
1.3047944761261048,0.41160067576656445,English-Only Household
-0.4473425861950934,0.2500578962831389,English-Only Household
-0.36651979741287033,-0.54760179629291,English-Only Household
-0.8407988966183292,-0.7891970172780708,English-Only Household
-0.3979706496431596,-1.099607579092095,English-Only Household
3.1915169736473556,1.1300603715826476,English-Only Household
-0.1957314131484555,0.4355957133419746,English-Only Household
-0.5664595598130885,-0.31130605666802125,English-Only Household
-0.3112054654219395,-0.47687052651783324,English-Only Household
1.0965836819321721,-0.2744450964679978,English-Only Household
-0.6352417658627665,-0.6057227377533418,English-Only Household
-0.9867966294106436,-1.6038310705678707,English-Only Household
0.809404037576701,0.21875025233603929,English-Only Household
-1.313096075026777,-0.5180749506563636,English-Only Household
-0.40646597351747155,0.37938575857497553,English-Only Household
-1.001258457827672,-0.6730172986990218,English-Only Household
1.122332535272054,0.8495172605159482,English-Only Household
-0.4631223886761782,-0.3876443745075267,English-Only Household
-0.49242378805209575,-0.776661131818276,English-Only Household
-0.053561737898062345,-0.8431159403096138,English-Only Household
-1.2692168215814807,-1.644994169267266,English-Only Household
-1.1390578788181631,-0.9496429546864322,English-Only Household
-2.029822846153845,-1.8699506328013649,English-Only Household
-1.270935174009936,-1.1279063739101418,English-Only Household
-1.3098038733024502,0.783355014457342,English-Only Household
0.5151224474883734,-1.3485453042067874,English-Only Household
