Drafting,Vz,Group
0.1860347759382781,0.2570746153896235,Extensive Game Experience
2.3507379746326467,0.7917806068777846,Extensive Game Experience
2.1903814315945436,2.27267821008879,Extensive Game Experience
-0.2851035914279718,-1.2116011744479551,Extensive Game Experience
1.1932110943391452,2.0736502707825792,Extensive Game Experience
2.120550583837666,1.3757755493473875,Extensive Game Experience
1.777919508810543,-0.11138462747344136,Extensive Game Experience
0.9401122422492882,0.6809689017523197,Extensive Game Experience
0.9840004725110024,0.6123544920264332,Extensive Game Experience
0.8745714860077259,0.16988283339961863,Extensive Game Experience
1.6575860847897153,0.15747585070019876,Extensive Game Experience
1.1355754577447263,-0.24210120055057693,Extensive Game Experience
0.9661399557562929,0.2770492093214184,Extensive Game Experience
1.2103916667422878,1.4536801418542535,Extensive Game Experience
2.545560972917766,1.7493438939451589,Extensive Game Experience
1.8807995996810178,0.5671838922485244,Extensive Game Experience
2.3323604655877466,-0.49922550557095224,Extensive Game Experience
0.6388645474009955,0.3446064808447533,Extensive Game Experience
0.7283557929728248,0.3876927226236708,Extensive Game Experience
3.0311479899697127,3.7319740143124958,Extensive Game Experience
1.084954542755686,1.680790995054355,Extensive Game Experience
1.2569253710589543,0.49173632452167726,Extensive Game Experience
0.6834731724715304,1.0853125252407265,Extensive Game Experience
1.9779111968448098,1.4256919324377604,Extensive Game Experience
1.3171694930241313,0.10144692866379379,Extensive Game Experience
0.7691086723601104,-0.6617780625738208,Extensive Game Experience
2.221259663176458,1.4000486836376331,Extensive Game Experience
0.6600147777640731,0.1393021974059645,Extensive Game Experience
1.599218640439473,0.9755936491096892,Extensive Game Experience
0.743585453240558,0.21034779016209282,Extensive Game Experience
2.4229038783148766,2.095315153948376,Extensive Game Experience
0.9036170316832434,0.8312481242740792,Extensive Game Experience
1.1322722095533428,0.23996087806517297,Extensive Game Experience
0.4898395491080576,1.1570011734024983,Extensive Game Experience
0.07179400911039635,-0.34103089612026927,Extensive Game Experience
1.1474365506144006,-0.5332754592726274,Extensive Game Experience
-0.07728587548593469,-1.1218940735666276,Extensive Game Experience
0.2757013691551282,-0.04481329857497762,Extensive Game Experience
1.5329391685692173,0.5717031315418006,Extensive Game Experience
1.069214786631929,0.6999237672812725,Extensive Game Experience
2.60841530493001,2.505902433901611,Extensive Game Experience
0.16412100650275985,0.5061090982023768,Extensive Game Experience
1.1735164672643825,-0.03871884672613213,Extensive Game Experience
1.3761059491180485,0.7339714547398566,Extensive Game Experience
1.0232480557806871,-0.13540723494632134,Extensive Game Experience
1.2830824444372677,-0.32386649558542824,Extensive Game Experience
1.4765968688552618,-0.7262769595595613,Extensive Game Experience
0.4856100414773228,-0.08406723884961842,Extensive Game Experience
