teacher_id,district_id,id_order,u_0j,b_00,b_11,intervention,pi_0j,e,satisfaction
1,1,1,-25.706583643173985,100,10,Seminar,74.29341635682601,11.177667549877828,85.47108390670384
2,1,2,-25.706583643173985,100,10,Seminar,74.29341635682601,-23.680816397755066,50.61259995907095
3,1,3,-25.706583643173985,100,10,Seminar,74.29341635682601,13.93635057965909,88.2297669364851
4,1,4,-25.706583643173985,100,10,Seminar,74.29341635682601,16.66208856719027,90.95550492401628
5,1,5,-25.706583643173985,100,10,Seminar,74.29341635682601,20.996997921970536,95.29041427879655
6,1,6,-25.706583643173985,100,10,Seminar,74.29341635682601,-15.28362827798903,59.00978807883698
7,1,7,-25.706583643173985,100,10,Seminar,74.29341635682601,3.0939210757113704,77.38733743253738
8,1,8,-25.706583643173985,100,10,Seminar,74.29341635682601,-11.557631779007595,62.73578457781842
9,1,9,-25.706583643173985,100,10,Seminar,74.29341635682601,-13.9473039691467,60.34611238767931
10,1,10,-25.706583643173985,100,10,Seminar,74.29341635682601,-1.083615382735545,73.20980097409047
11,1,11,-25.706583643173985,100,10,Seminar,74.29341635682601,12.60643483278123,86.89985118960725
12,1,12,-25.706583643173985,100,10,Seminar,74.29341635682601,31.25604552148278,105.54946187830879
13,1,13,-25.706583643173985,100,10,Seminar,74.29341635682601,-13.654825216810469,60.63859114001555
14,1,14,-25.706583643173985,100,10,Seminar,74.29341635682601,19.92421057137649,94.2176269282025
15,1,15,-25.706583643173985,100,10,Seminar,74.29341635682601,-9.030007152312253,65.26340920451376
16,1,16,-25.706583643173985,100,10,Seminar,74.29341635682601,23.453455096667184,97.7468714534932
17,1,17,-25.706583643173985,100,10,Seminar,74.29341635682601,1.1538002083742473,75.44721656520026
18,1,18,-25.706583643173985,100,10,Seminar,74.29341635682601,10.898137576270905,85.19155393309691
19,1,19,-25.706583643173985,100,10,Seminar,74.29341635682601,-10.36464416942153,63.92877218740448
20,1,20,-25.706583643173985,100,10,Seminar,74.29341635682601,-12.308831228406353,61.98458512841966
21,1,21,-25.706583643173985,100,10,Seminar,74.29341635682601,-5.680312750510627,68.61310360631539
22,1,22,-25.706583643173985,100,10,Seminar,74.29341635682601,3.243435616838132,77.53685197366414
23,1,23,-25.706583643173985,100,10,Seminar,74.29341635682601,5.543197883058145,79.83661423988416
24,1,24,-25.706583643173985,100,10,Seminar,74.29341635682601,-10.297677527799868,63.995738829026145
25,1,25,-25.706583643173985,100,10,Seminar,74.29341635682601,7.417852759274318,81.71126911610034
26,2,1,-10.254228296925323,100,10,Seminar,89.74577170307468,-8.54045997895673,81.20531172411795
27,2,2,-10.254228296925323,100,10,Seminar,89.74577170307468,14.501437744160793,104.24720944723548
28,2,3,-10.254228296925323,100,10,Seminar,89.74577170307468,-15.595864804649885,74.1499068984248
29,2,4,-10.254228296925323,100,10,Seminar,89.74577170307468,-26.644515151615302,63.10125655145938
30,2,5,-10.254228296925323,100,10,Seminar,89.74577170307468,-6.2037111752378165,83.54206052783687
31,2,6,-10.254228296925323,100,10,Seminar,89.74577170307468,12.82255638610007,102.56832808917476
32,2,7,-10.254228296925323,100,10,Seminar,89.74577170307468,-13.57630234180404,76.16946936127064
33,2,8,-10.254228296925323,100,10,Seminar,89.74577170307468,-21.74036059106652,68.00541111200816
34,2,9,-10.254228296925323,100,10,Seminar,89.74577170307468,-34.56044986507937,55.18532183799531
35,2,10,-10.254228296925323,100,10,Seminar,89.74577170307468,8.697349407963998,98.44312111103868
36,2,11,-10.254228296925323,100,10,Seminar,89.74577170307468,10.610148973527563,100.35592067660224
37,2,12,-10.254228296925323,100,10,Seminar,89.74577170307468,11.218147792529045,100.96391949560373
38,2,13,-10.254228296925323,100,10,Seminar,89.74577170307468,3.6476398328211093,93.3934115358958
39,2,14,-10.254228296925323,100,10,Seminar,89.74577170307468,-4.007532433047176,85.7382392700275
40,2,15,-10.254228296925323,100,10,Seminar,89.74577170307468,12.932643666973874,102.67841537004855
41,2,16,-10.254228296925323,100,10,Seminar,89.74577170307468,3.9785303280162414,93.72430203109093
42,2,17,-10.254228296925323,100,10,Seminar,89.74577170307468,20.966562987852083,110.71233469092677
43,2,18,-10.254228296925323,100,10,Seminar,89.74577170307468,11.777093440945603,101.52286514402029
44,2,19,-10.254228296925323,100,10,Seminar,89.74577170307468,7.549520719339677,97.29529242241436
45,2,20,-10.254228296925323,100,10,Seminar,89.74577170307468,-22.08016082506346,67.66561087801122
46,2,21,-10.254228296925323,100,10,Seminar,89.74577170307468,6.265551373506608,96.01132307658129
47,2,22,-10.254228296925323,100,10,Seminar,89.74577170307468,23.38710673628825,113.13287843936293
48,2,23,-10.254228296925323,100,10,Seminar,89.74577170307468,14.55160366916754,104.29737537224221
49,2,24,-10.254228296925323,100,10,Seminar,89.74577170307468,14.692125940541276,104.43789764361595
50,2,25,-10.254228296925323,100,10,Seminar,89.74577170307468,25.895952483913753,115.64172418698843
51,2,26,-10.254228296925323,100,10,Seminar,89.74577170307468,-4.535204387617538,85.21056731545714
52,2,27,-10.254228296925323,100,10,Seminar,89.74577170307468,16.731568689888135,106.47734039296282
53,2,28,-10.254228296925323,100,10,Seminar,89.74577170307468,-13.321781913616874,76.4239897894578
54,2,29,-10.254228296925323,100,10,Seminar,89.74577170307468,-0.9427965253642475,88.80297517771044
55,2,30,-10.254228296925323,100,10,Seminar,89.74577170307468,-19.315533735868776,70.4302379672059
56,2,31,-10.254228296925323,100,10,Seminar,89.74577170307468,0.006546451670924314,89.75231815474561
57,2,32,-10.254228296925323,100,10,Seminar,89.74577170307468,-31.831630101593987,57.914141601480694
58,2,33,-10.254228296925323,100,10,Seminar,89.74577170307468,-3.133555172759419,86.61221653031527
59,3,1,-19.87826339139489,100,10,Mentoring,80.12173660860512,-9.129522732808567,80.99221387579655
60,3,2,-19.87826339139489,100,10,Mentoring,80.12173660860512,5.2457470447211865,95.3674836533263
61,3,3,-19.87826339139489,100,10,Mentoring,80.12173660860512,-1.0758586865233994,89.04587792208171
62,3,4,-19.87826339139489,100,10,Mentoring,80.12173660860512,2.6287199034505933,92.7504565120557
63,3,5,-19.87826339139489,100,10,Mentoring,80.12173660860512,-8.708195460694228,81.41354114791089
